time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-24T19:25:47.585Z,31.6155766,-104.0067572,7.982543944999999,2.5,ml,19,56,0.01029470364,0.2,tx,tx2022xaxz,2022-11-30T14:42:45.040Z,"39 km NNW of Toyah, Texas",earthquake,0.5904878257,0.6254181135,0.2,12,reviewed,tx,tx
2022-11-24T19:19:28.736Z,31.62158071,-103.9981778,7.93112793,4.9,ml,25,53,0.01679806998,0.1,tx,tx2022xaxs,2022-11-30T14:42:39.871Z,"38 km WSW of Mentone, Texas",earthquake,0.5109176974,0.7058904086,0.1,15,reviewed,tx,tx
2022-11-24T19:19:16.597Z,31.62399855,-103.9967096,6.607165527,2.6,ml,22,52,0.01844120946,0.2,tx,tx2022xaxt,2022-11-30T14:43:20.937Z,"38 km WSW of Mentone, Texas",earthquake,0.4751126678,0.546741406,0.2,13,reviewed,tx,tx
2022-11-24T19:14:19.623Z,31.62898962,-103.9815328,6.954223633,4.5,ml,26,48,0.02128032665,0.1,tx,tx2022xaxp,2022-11-30T14:19:40.226Z,"37 km WSW of Mentone, Texas",earthquake,0.4695483087,0.6494553202999999,0.1,15,reviewed,tx,tx
2022-11-24T18:06:09.076Z,31.71009894,-104.4725011,5.051831055,2.7,ml,18,70,0.04374027532,0.2,tx,tx2022xavi,2022-11-30T13:43:22.040Z,"western Texas",earthquake,0.8081332747,0.6231927762,0.2,16,reviewed,tx,tx
2022-11-24T15:37:56.420Z,36.0043333,-120.5643333,4.14,2.51,md,64,46,0.02304,0.09,nc,nc73811036,2022-11-26T00:43:12.859Z,"17km NW of Parkfield, CA",earthquake,0.13,0.18,0.151,58,reviewed,nc,nc
2022-11-24T07:20:54.950Z,33.0695,-115.5835,11.77,3.01,ml,54,47,0.03118,0.25,ci,ci40380264,2022-11-28T15:06:05.190Z,"5km NE of Westmorland, CA",earthquake,0.21,0.32,0.17,89,reviewed,ci,ci
2022-11-24T07:18:11.198Z,31.657,-104.393,5,2.6,ml,26,112,0.093,0.48,us,us7000is0n,2022-11-24T20:22:09.470Z,"western Texas",earthquake,1.44,1.848,0.067,39,reviewed,us,us
2022-11-24T06:25:39.725Z,31.0122,-116.5181,10,4.2,mb,63,187,0.734,0.79,us,us7000is09,2022-11-24T06:50:32.040Z,"34 km W of Las Brisas, Mexico",earthquake,2.13,1.968,0.11,23,reviewed,us,us
2022-11-24T05:45:48.769Z,38.3674,-115.7972,6.7,2.5,ml,10,130.05,0.724,0.1488,nn,nn00851982,2022-11-28T17:56:31.137Z,"80 km N of Rachel, Nevada",earthquake,,3.8,0.21,5,reviewed,nn,nn
2022-11-23T22:34:02.290Z,37.2916667,-121.6641667,5.82,2.92,md,111,41,0.0334,0.08,nc,nc73810741,2022-11-28T06:35:37.963Z,"15km E of Seven Trees, CA",earthquake,0.08,0.17,0.178,160,reviewed,nc,nc
2022-11-23T22:16:57.350Z,33.8758333,-117.7658333,4.79,2.78,ml,90,24,0.04747,0.2,ci,ci40380048,2022-11-29T06:21:42.256Z,"5km ESE of Yorba Linda, CA",earthquake,0.14,0.33,0.19,120,reviewed,ci,ci
2022-11-23T14:50:35.291Z,31.52836424,-104.0080874,6.735705566,2.7,ml,26,64,0.03978448044,0.2,tx,tx2022wytk,2022-11-24T06:43:04.040Z,"31 km NW of Toyah, Texas",earthquake,0.600897029,0.5072398595,0.1,14,reviewed,tx,tx
2022-11-23T13:38:09.700Z,35.6381667,-117.4441667,6.62,2.51,ml,34,74,0.1303,0.14,ci,ci40379888,2022-11-24T06:19:30.040Z,"15km SSW of Searles Valley, CA",earthquake,0.16,0.57,0.159,80,reviewed,ci,ci
2022-11-23T08:05:12.187Z,31.6797273,-104.4108303,6.131567383,2.9,ml,11,77,0.01285860803,0.2,tx,tx2022wyga,2022-11-23T08:20:19.064Z,"55 km S of Whites City, New Mexico",earthquake,0.9730985237,0.6868458639,0.1,7,reviewed,tx,tx
2022-11-23T03:42:45.020Z,32.91,-115.9686667,9.87,2.57,ml,71,30,0.02312,0.21,ci,ci40379696,2022-11-24T01:59:04.040Z,"20km N of Ocotillo, CA",earthquake,0.15,0.42,0.169,104,reviewed,ci,ci
2022-11-23T02:30:13.657Z,38.1864,-117.8655,6.3,3.5,ml,34,52.43,0.088,0.2189,nn,nn00851914,2022-11-23T16:00:26.839Z,"31 km SE of Mina, Nevada",earthquake,,0.8,0.51,17,reviewed,nn,nn
2022-11-23T01:57:57.820Z,31.71635872,-104.5581962,7.828295898,3.6,ml,25,84,0.02546249951,0.2,tx,tx2022wxtx,2022-11-28T09:52:13.896Z,"53 km SSW of Whites City, New Mexico",earthquake,1.042226669,0.48762861,0.2,13,reviewed,tx,tx
2022-11-22T23:31:31.671Z,38.3489,-115.8266,7.3,2.9,ml,10,175.49,0.707,0.1967,nn,nn00851875,2022-11-23T23:47:32.040Z,"78 km N of Rachel, Nevada",earthquake,,8.5,0.14,5,reviewed,nn,nn
2022-11-22T23:28:15.666Z,38.322,-115.9271,4.8,2.8,ml,9,223.2,0.692,0.2048,nn,nn00851872,2022-11-23T23:49:18.040Z,"76 km NNW of Rachel, Nevada",earthquake,,5.1,0.18,5,reviewed,nn,nn
2022-11-22T23:24:57.768Z,47.1331,-65.603,12.292,2.8,ml,16,89,0.343,0.36,us,us7000irr9,2022-11-25T05:49:38.040Z,"13 km NNW of Miramichi, Canada",earthquake,2.23,8.407,0.06,36,reviewed,us,us
2022-11-22T22:37:32.622Z,31.61543446,-103.9806647,7.494091797,2.5,ml,25,55,0.01114609983,0.1,tx,tx2022wxnh,2022-11-24T00:00:06.040Z,"37 km WSW of Mentone, Texas",earthquake,0.5563605344,0.7478512946,0.2,19,reviewed,tx,tx
2022-11-22T21:51:18.205Z,31.60261979,-104.2379952,7.314135742,2.5,ml,40,70,0.07280686641,0.2,tx,tx2022wxlt,2022-11-24T00:09:52.040Z,"52 km NW of Toyah, Texas",earthquake,0.7609347166,1.2270591390000003,0,6,reviewed,tx,tx
2022-11-22T21:00:56.220Z,30.9454,-116.5078,10,4.5,mb,34,128,0.763,0.63,us,us7000irm7,2022-11-29T01:21:48.070Z,"Baja California, Mexico",earthquake,3.78,1.908,0.113,23,reviewed,us,us
